dataset,track,condition_id,method,reference_count,rrf_constant,top_l,ndcg_at_10,recall_at_20,complete_top20_exact_rate
scidocs,controlled,primary,sparse_only,5,60,500,0.19396145221786243,0.2748277777777778,0.9076666666666666
scidocs,controlled,primary,sparse_only,5,60,1000,0.19388945607625124,0.2750277777777778,0.946
scidocs,controlled,primary,sparse_references_only,5,60,10,0.19041776703656368,0.25586111111111115,0.0
scidocs,controlled,primary,sparse_references_only,5,60,20,0.18769299111980142,0.27645555555555557,0.0
scidocs,controlled,primary,sparse_references_only,5,60,50,0.1868571324988648,0.2732777777777778,0.11633333333333333
scidocs,controlled,primary,sparse_references_only,5,60,100,0.18688481751118785,0.2694777777777778,0.486
scidocs,controlled,primary,sparse_references_only,5,60,200,0.18693214880247747,0.27392777777777777,0.7883333333333333
scidocs,controlled,primary,sparse_references_only,5,60,500,0.18686774333315564,0.2747611111111111,0.9203333333333333
scidocs,controlled,primary,sparse_references_only,5,60,1000,0.18680103110617094,0.27489444444444444,0.959
scifact,controlled,primary,bridge_shared,5,60,10,0.734287977400501,0.913074074074074,0.0
scifact,controlled,primary,bridge_shared,5,60,20,0.733471189308361,0.9242222222222222,0.0011111111111111111
scifact,controlled,primary,bridge_shared,5,60,50,0.7331680341424064,0.9126666666666666,0.15333333333333332
scifact,controlled,primary,bridge_shared,5,60,100,0.7312649920793802,0.9115555555555556,0.5166666666666667
scifact,controlled,primary,bridge_shared,5,60,200,0.7321770779349782,0.9187777777777778,0.7877777777777778
scifact,controlled,primary,bridge_shared,5,60,500,0.7324982610753313,0.9193333333333333,0.9311111111111111
scifact,controlled,primary,bridge_shared,5,60,1000,0.7324982610753313,0.9182222222222222,0.9655555555555555
scifact,controlled,primary,dense_only,5,60,10,0.7321846801631441,0.8848518518518519,0.0
scifact,controlled,primary,dense_only,5,60,20,0.7320284719867022,0.9017777777777778,0.0
scifact,controlled,primary,dense_only,5,60,50,0.7376166326050307,0.9091111111111112,0.11333333333333333
scifact,controlled,primary,dense_only,5,60,100,0.7342970323298281,0.9046666666666667,0.43666666666666665
scifact,controlled,primary,dense_only,5,60,200,0.7356868747758804,0.9085555555555556,0.7255555555555555
scifact,controlled,primary,dense_only,5,60,500,0.7360213525488404,0.9135555555555556,0.88
scifact,controlled,primary,dense_only,5,60,1000,0.7360213525488404,0.9135555555555556,0.9322222222222222
scifact,controlled,primary,mugi_controlled,5,60,10,0.7298962770244583,0.913074074074074,0.0
scifact,controlled,primary,mugi_controlled,5,60,20,0.7305570297362484,0.9242222222222222,0.0
scifact,controlled,primary,mugi_controlled,5,60,50,0.7290093378205664,0.9137777777777778,0.1511111111111111
scifact,controlled,primary,mugi_controlled,5,60,100,0.7280080087032936,0.9071111111111111,0.51
scifact,controlled,primary,mugi_controlled,5,60,200,0.7292119443098362,0.9143333333333333,0.7788888888888889
scifact,controlled,primary,mugi_controlled,5,60,500,0.7295331274501895,0.9148888888888889,0.92
scifact,controlled,primary,mugi_controlled,5,60,1000,0.7295331274501895,0.9137777777777778,0.9655555555555555
scifact,controlled,primary,original,5,60,10,0.7225413578711638,0.8778888888888889,0.0
scifact,controlled,primary,original,5,60,20,0.7208286555401004,0.8895555555555555,0.0
scifact,controlled,primary,original,5,60,50,0.7267519796650274,0.9035555555555556,0.09333333333333334
scifact,controlled,primary,original,5,60,100,0.724121610289443,0.9002222222222223,0.4266666666666667
scifact,controlled,primary,original,5,60,200,0.7253089675798031,0.901888888888889,0.7166666666666667
scifact,controlled,primary,original,5,60,500,0.7253089675798031,0.9035555555555556,0.88
scifact,controlled,primary,original,5,60,1000,0.7253089675798031,0.9035555555555556,0.93
scifact,controlled,primary,proposed,5,60,10,0.7399041786290808,0.9037407407407407,0.0
