dataset,query_id,dense_angle_degrees,dense_residual_norm,sparse_top20_turnover,sparse_top100_overlap
arguana,test-economy-beghwbh-pro03a,3.9693653378922313,0.06938962886730826,0.04999999999999997,0.8933333333333334
arguana,test-economy-bepahbtsnrt-con01a,4.610616059607836,0.08064526567856467,0.04999999999999997,0.9333333333333332
arguana,test-economy-bepahbtsnrt-con02a,4.9300792847591985,0.0862602641185124,0.05000000000000001,0.89
arguana,test-economy-bepahbtsnrt-con03a,5.437198248123573,0.09518481045961373,0.08333333333333326,0.9233333333333333
arguana,test-economy-bepahbtsnrt-pro01a,3.826809414284785,0.06688995162645973,0.05000000000000001,0.8633333333333333
arguana,test-economy-bepahbtsnrt-pro02a,4.733177761713243,0.08279965569575627,0.1333333333333333,0.8833333333333333
arguana,test-economy-bepahbtsnrt-pro03a,3.746616919519338,0.06548442443211873,0.0,0.8966666666666666
arguana,test-economy-bepahbtsnrt-pro04a,3.679732918441143,0.06431231523553527,0.14999999999999994,0.93
arguana,test-economy-bepiehbesa-con01a,4.0822328456546675,0.07136955857276914,0.05000000000000001,0.8666666666666667
arguana,test-economy-bepiehbesa-con02a,5.053278394390255,0.0884262497226397,0.11666666666666659,0.8300000000000001
arguana,test-economy-bepiehbesa-con03a,3.6881675915273475,0.0644597386320432,0.03333333333333333,0.8933333333333334
arguana,test-economy-bepiehbesa-pro01a,3.383292646702042,0.05911861111720399,0.23333333333333325,0.89
arguana,test-economy-bepiehbesa-pro02a,4.708733521005045,0.08236844340960182,0.08333333333333326,0.9333333333333332
arguana,test-economy-bepiehbesa-pro03a,4.804349410998051,0.08404902120431261,0.11666666666666659,0.9266666666666667
arguana,test-economy-bepiehbesa-pro04a,4.140012589341377,0.0723830809195836,0.08333333333333326,0.8733333333333334
arguana,test-economy-bepighbdb-con01a,3.6996416993852326,0.06466082731882726,0.1333333333333333,0.9133333333333334
arguana,test-economy-bepighbdb-con02a,3.5765784102477896,0.06250485405325883,0.09999999999999991,0.92
arguana,test-economy-bepighbdb-con03a,3.572834998204881,0.062439388285080576,0.11666666666666659,0.9500000000000001
arguana,test-economy-bepighbdb-con04a,3.2165111034489393,0.05619787424802777,0.08333333333333326,0.9233333333333333
arguana,test-economy-bepighbdb-pro01a,4.774279664404011,0.08352263768513994,0.11666666666666659,0.9266666666666667
arguana,test-economy-bepighbdb-pro02a,3.737014503220717,0.06531615306933718,0.09999999999999996,0.9499999999999998
arguana,test-economy-bepighbdb-pro03a,3.9280943897671663,0.06866587450106933,0.08333333333333326,0.89
arguana,test-economy-beplcpdffe-con01a,5.795707877647476,0.10150405764579766,0.03333333333333333,0.87
arguana,test-economy-beplcpdffe-con02a,3.93816771550688,0.06884314616521196,0.03333333333333333,0.9033333333333333
arguana,test-economy-beplcpdffe-con03a,4.143777889628975,0.07244993746280666,0.04999999999999997,0.92
arguana,test-economy-beplcpdffe-con04a,5.106074395368343,0.08935831735531484,0.08333333333333326,0.8033333333333333
arguana,test-economy-beplcpdffe-con05a,4.41301176992946,0.07717489451169963,0.03333333333333333,0.8866666666666667
arguana,test-economy-beplcpdffe-pro01a,4.701786494304506,0.08224974572658533,0.1333333333333333,0.7866666666666667
arguana,test-economy-beplcpdffe-pro02a,4.262308723943719,0.07452987382809316,0.09999999999999991,0.86
arguana,test-economy-beplcpdffe-pro03a,5.123088770145698,0.08965504666169481,0.15,0.8300000000000001
arguana,test-economy-beplcpdffe-pro04a,4.150870846322988,0.07257356991370513,0.016666666666666666,0.8366666666666666
arguana,test-economy-bhahwbsps-con01a,3.544616719019615,0.061944647381703,0.06666666666666664,0.96
arguana,test-economy-bhahwbsps-con02a,3.583194297096719,0.06262032936016713,0.06666666666666664,0.9533333333333333
arguana,test-economy-bhahwbsps-con03a,4.537519386172975,0.07936141888300577,0.08333333333333326,0.9633333333333333
arguana,test-economy-bhahwbsps-pro01a,4.329919898068527,0.07571614036957418,0.05000000000000001,0.9333333333333332
arguana,test-economy-bhahwbsps-pro02a,3.1663421036311767,0.055319568763176535,0.0,0.9566666666666667
arguana,test-economy-bhahwbsps-pro03a,3.6741612421082013,0.06421501810352004,0.0,0.9766666666666666
arguana,test-economy-bhahwbsps-pro04a,4.164618263303011,0.07281630982955294,0.08333333333333326,0.85
arguana,test-economy-egecegphw-con01a,2.9443659751209608,0.05143445730209347,0.05000000000000001,0.9166666666666666
arguana,test-economy-egecegphw-con02a,3.4392297967972936,0.06009816502531363,0.08333333333333326,0.9199999999999999
arguana,test-economy-egecegphw-con03a,4.018047945263,0.07024343063433959,0.05000000000000001,0.8766666666666666
arguana,test-economy-egecegphw-pro01a,3.077350537166852,0.05376162131627393,0.016666666666666666,0.9133333333333334
arguana,test-economy-egecegphw-pro02a,3.7023399223565843,0.0647085569798946,0.06666666666666664,0.9033333333333333
arguana,test-economy-egecegphw-pro03a,4.101550230149044,0.0717082743843396,0.03333333333333333,0.8666666666666667
arguana,test-economy-egiahbwaka-con01a,3.665873907603592,0.06406904011964794,0.0,0.9633333333333333
arguana,test-economy-egiahbwaka-con02a,5.242718002224211,0.09175996730724963,0.11666666666666659,0.9666666666666667
arguana,test-economy-egiahbwaka-con03a,9.748500858657988e-07,1.7014343711707625e-08,0.05000000000000001,0.9500000000000001
arguana,test-economy-egiahbwaka-pro01a,3.293971239716422,0.05755416055520374,0.05000000000000001,0.9233333333333333
